,metadata,sent,mvi,inf,xobj
10,Xenophon (0032) - Cyropaedia (007),τοῖς μὴ θέλουσιν ἑαυτοῖς προστάττειν ἐκπονεῖν τἀγαθὰ ἄλλους αὐτοῖς ἐπιτακτῆρας δίδωσι .,προστάττειν;δίδωσι,προστάττειν;ἐκπονεῖν,ἑαυτοῖς
11,Xenophon (0032) - Memorabilia (002),"ὥστε κατά γε τοῦτο ἔξεστί σοι λέγειν , ὅτι οὐδὲν γνώμῃ , ἀλλὰ τύχῃ πάντα πράττεις . καὶ ὁ *̓αριστόδημος , οὔτοι , ἔφη , ἐγώ , ὦ Σώκρατες , ὑπερορῶ τὸ δαιμόνιον , ἀλλʼ ἐκεῖνο μεγαλοπρεπέστερον ἡγοῦμαι ἢ ὡς τῆς ἐμῆς θεραπείας προσδεῖσθαι .",ἔξεστί,λέγειν,σοι;γνώμῃ
12,Demosthenes (Apollodorus) (0014) - Against Neaera (059),"ὁ γὰρ δῆμος ὁ *̓αθηναίων κυριώτατος ὢν τῶν ἐν τῇ πόλει ἁπάντων , καὶ ἐξὸν αὐτῷ ποιεῖν ὅ τι ἂν βούληται , οὕτω καλὸν καὶ σεμνὸν ἡγήσατʼ εἶναι δῶρον τὸ *̓αθηναῖον γενέσθαι , ὥστε νόμους ἔθετο αὑτῷ καθʼ οὓς ποιεῖσθαι δεῖ , ἐάν τινα βούλωνται , πολίτην , οἳ νῦν προπεπηλακισμένοι εἰσὶν ὑπὸ Στεφάνου τουτουὶ καὶ τῶν οὕτω γεγαμηκότων . ὅμως δʼ ἀκούοντες αὐτῶν βελτίους ἔσεσθε , καὶ τὰ κάλλιστα καὶ τὰ σεμνότατα δῶρα τοῖς εὐεργετοῦσι τὴν πόλιν διδόμενα γνώσεσθε ὡς λελυμασμένοι εἰσίν .",ἐξὸν;διδόμενα,ποιεῖν,αὐτῷ
13,Aeschines (0026) - The Speech on the Embassy (002),"τὸν γὰρ ἐπὶ ταῖς δωροδοκίαις προτρεπόμενον ὀργίζεσθαι , αὐτὸν χρὴ τῶν τοιούτων ἔργων ἀπέχεσθαι . ἐμοὶ δέ , ἄνδρες *̓αθηναῖοι , συμβέβηκε τῆς Δημοσθένους ἀκούοντι κατηγορίας μήτε δεῖσαι πώποθʼ οὕτως ὡς ἐν τῇδε τῇ ἡμέρᾳ , μήτʼ ἀγανακτῆσαι μᾶλλον ἢ νῦν , μήτʼ εἰς ὑπερβολὴν ὁμοίως ἡσθῆναι .",συμβέβηκε,δεῖσαι,ἀκούοντι
14,Demosthenes (Apollodorus) (0014) - Against Stephanus 1 (045),"οὐ γάρ ἕτερον δείξῃ δεινότερʼ εἰργασμένον , ἀποφεύγειν αὐτῷ προσήκει , ἀλλʼ ἂν αὐτὸς ὡς ἀληθῆ μεμαρτύρηκεν ἀποφήνῃ .",προσήκει,ἀποφεύγειν,αὐτῷ
15,Plato (0059) - Alcibiades 1 (013),"κομιδῇ μὲν οὖν . ἔτι οὖν τι σαφέστερον δεῖ ἀποδειχθῆναί σοι ὅτι ἡ ψυχή ἐστιν ἄνθρωπος ; μὰ Δία , ἀλλʼ ἱκανῶς μοι δοκεῖ ἔχειν .",δοκεῖ,ἔχειν,μοι
16,Euripides (0006) - Iphigenia in Aulis (051),"κἀγὼ κατῴκτιρ ̓ , ὡς γυναῖκα δεῖ ξένην ὑπὲρ τυράννων συμφορᾶς καταστένειν . ἀδελφέ , δός μοι δεξιᾶς τῆς σῆς θιγεῖν . δίδωμι ·",δός;δίδωμι,θιγεῖν,μοι
17,Demosthenes (0014) - Against Macartatus (043),"περίεργον δή μοι δοκεῖ εἶναι λέγειν τι περὶ τούτων , πλὴν ὅσα ἐξ ἀνάγκης ἐστὶν ἐπιμνησθῆναι . περὶ δὲ Θεοπόμπου τοῦ πατρὸς τοῦ Μακαρτάτου καὶ αὐτοῦ τουτουὶ Μακαρτάτου , περὶ τούτων μοί ἐστιν ἐξ ἀνάγκης λέγειν . ἔστιν δὲ βραχὺς ὁ λόγος , ὦ ἄνδρες δικασταί .",δοκεῖ,λέγειν;λέγειν,μοί
18,Herodotus (0016) - Histories (001),"ἐπείτε γὰρ τὴν ἑωυτοῦ γυναῖκα Μέλισσαν Περίανδρος ἀπέκτεινε , συμφορὴν τοιήνδε οἱ ἄλλην συνέβη πρὸς τῇ γεγονυίῃ γενέσθαι . ἦσάν οἱ ἐκ Μελίσσης δύο παῖδες , ἡλικίην ὃ μὲν ἑπτακαίδεκα ὁ δὲ ὀκτωκαίδεκα ἔτεα γεγονώς .",συνέβη,γενέσθαι,γεγονυίῃ
19,Xenophon (0032) - Hellenica (001),"καὶ τοῦτο μὲν οὐκ ἀγνοῶ , ὅτι ταῦτα ἀποφθέγματα οὐκ ἀξιόλογα , ἐκεῖνο δὲ κρίνω τοῦ ἀνδρὸς ἀγαστόν , τὸ τοῦ θανάτου παρεστηκότος μήτε τὸ φρόνιμον μήτε τὸ παιγνιῶδες ἀπολιπεῖν ἐκ τῆς ψυχῆς . Θηραμένης μὲν δὴ οὕτως ἀπέθανεν · οἱ δὲ τριάκοντα , ὡς ἐξὸν ἤδη αὐτοῖς τυραννεῖν ἀδεῶς , προεῖπον μὲν τοῖς ἔξω τοῦ καταλόγου μὴ εἰσιέναι εἰς τὸ ἄστυ , ἦγον δὲ ἐκ τῶν χωρίων , ἵνʼ αὐτοὶ καὶ οἱ φίλοι τοὺς τούτων ἀγροὺς ἔχοιεν . φευγόντων δὲ εἰς τὸν Πειραιᾶ καὶ ἐντεῦθεν πολλοὺς ἄγοντες ἐνέπλησαν καὶ τὰ Μέγαρα καὶ τὰς Θήβας τῶν ὑποχωρούντων .",ἐξὸν,τυραννεῖν,αὐτοῖς
20,Demosthenes (0014) - Against Timocrates (024),"καὶ οὗτος ὁ χρηστὸς περιορᾷ . ὅστις μέλλων κληρονομήσειν τῆς ἀτιμίας , ἂν ἐκεῖνός τι πάθῃ , μὴ οἴεται δεῖν ἐκτεῖσαι , ἀλλὰ κερδαίνειν , ὃν ἐκεῖνος ζῇ χρόνον , ἀξιοῖ τοῦτο τὸ κέρδος , τίνος ἂν ὑμῖν ἀποσχέσθαι δοκεῖ ;",δοκεῖ,ἀποσχέσθαι,ὑμῖν
21,Plato (0059) - Phaedo (004),"οὐδὲ μία μοι δοκεῖ , ἔφη ὁ ὦ ἀλλά μοι δοκεῖς παντάπασιν ἀληθῆ λέγειν .",δοκεῖ;δοκεῖς,λέγειν,μοι
22,Thucydides (0003) - History (001),"τὸν δὲ πόνον τὸν κατὰ τὸν πόλεμον , μὴ γένηταί τε πολὺς καὶ οὐδὲν μᾶλλον περιγενώμεθα , ἀρκείτω μὲν ὑμῖν καὶ ἐκεῖνα ἐν οἷς ἄλλοτε πολλάκις γε δὴ ἀπέδειξα οὐκ ὀρθῶς αὐτὸν ὑποπτευόμενον , δηλώσω δὲ καὶ τόδε , ὅ μοι δοκεῖτε οὔτʼ αὐτοὶ πώποτε ἐνθυμηθῆναι ὑπάρχον ὑμῖν μεγέθους πέρι ἐς τὴν ἀρχὴν οὔτʼ ἐγὼ ἐν τοῖς πρὶν λόγοις ·",δοκεῖτε,ἐνθυμηθῆναι,ὑμῖν;λόγοις
23,Plato (0059) - Ion (027),"ναί . οἷον βουκόλῳ λέγεις δούλῳ ἃ πρέπει εἰπεῖν ἀγριαινουσῶν βοῶν παραμυθουμένῳ , ὁ ῥαψῳδὸς γνώσεται ἀλλʼ οὐχ ὁ βουκόλος ; οὐ δῆτα .",πρέπει;παραμυθουμένῳ,εἰπεῖν,παραμυθουμένῳ
24,Demosthenes (0014) - Against Aphobus 1 (027),"οὐ γὰρ δήπου τὸν μὲν υἱὸν ἐμὲ πένητʼ ἐβούλετο καταλιπεῖν , τούτους δὲ πλουσίους ὄντας ἔτι πλουσιωτέρους ποιῆσαι ἐπεθύμησεν , ἀλλʼ ἕνεκα τοῦ πλήθους τῶν ἐμοὶ καταλειπομένων Θηριππίδῃ τε τοσοῦτον ἀργύριον καὶ Δημοφῶντι τὰ δύο τάλαντα , οὔπω μέλλοντι τῇ ἀδελφῇ τῇ ἐμῇ συνοικήσειν , καρποῦσθαι ἔδωκεν , ἵνα δυοῖν θάτερον διαπράξαιτο , ἢ διὰ τὰ διδόμενα βελτίους αὐτοὺς εἶναι τὰ περὶ τὴν ἐπιτροπὴν προτρέψειεν , ἢ εἰ κακοὶ γίγνοιντο , μηδεμιᾶς συγγνώμης παρʼ ὑμῶν τυγχάνοιεν , εἰ τοσούτων ἀξιωθέντες τοιαῦτʼ εἰς ἡμᾶς ἐξαμαρτάνοιεν . οὗτος τοίνυν καὶ αὐτὸς πρὸς τῇ προικὶ καὶ θεραπαίνας λαβὼν καὶ τὴν οἰκίαν οἰκῶν , ἐπειδὴ δεῖ λόγον αὐτὸν δοῦναι τούτων , τὰ ἑαυτοῦ πράττειν φησίν ·",ἔδωκεν;διδόμενα;δοῦναι,καρποῦσθαι,ἀδελφῇ
25,Thucydides (0003) - History (001),"καὶ τὸ πλῆθος ἐψηφίσαντο πολεμεῖν . δεδογμένον δὲ αὐτοῖς εὐθὺς μὲν ἀδύνατα ἦν ἐπιχειρεῖν ἀπαρασκεύοις οὖσιν , ἐκπορίζεσθαι δὲ ἐδόκει ἑκάστοις ἃ πρόσφορα ἦν καὶ μὴ εἶναι μέλλησιν . ὅμως δὲ καθισταμένοις ὧν ἔδει ἐνιαυτὸς μὲν οὐ διετρίβη , ἔλασσον δέ , πρὶν ἐσβαλεῖν ἐς τὴν *̓ αττικὴν καὶ τὸν πόλεμον ἄρασθαι φανερῶς . ἐν τούτῳ δὲ ἐπρεσβεύοντο τῷ χρόνῳ πρὸς τοὺς *̓αθηναίους ἐγκλήματα ποιούμενοι , ὅπως σφίσιν ὅτι μεγίστη πρόφασις εἴη τοῦ πολεμεῖν , ἢν μή τι ἐσακούωσιν . καὶ πρῶτον μὲν πρέσβεις πέμψαντες οἱ Λακεδαιμόνιοι ἐκέλευον τοὺς *̓αθηναίους τὸ ἄγος ἐλαύνειν τῆς θεοῦ ·",ἐδόκει,ἐκπορίζεσθαι,ἑκάστοις;καθισταμένοις
26,Plato (0059) - Laws (034),"καλῶς μὲν τοίνυν , ὦ Κλεινία , δοκεῖς μοι τό γε τοσοῦτον λέγειν , ὅτι πᾶσίν γε νόμοις ἔστιν προοίμια καὶ ὅτι πάσης ἀρχόμενον νομοθεσίας χρὴ προτιθέναι παντὸς τοῦ λόγου τὸ πεφυκὸς προοίμιον ἑκάστοις _ οὐ γὰρ σμικρὸν τὸ μετὰ τοῦτό ἐστιν ῥηθησόμενον , οὐδʼ ὀλίγον διαφέρον ἢ σαφῶς ἢ μὴ σαφῶς αὐτὰ μνημονεύεσθαι _ τὸ μέντοι μεγάλων πέρι λεγομένων νόμων καὶ σμικρῶν εἰ ὁμοίως προοιμιάζεσθαι προστάττοιμεν , οὐκ ἂν ὀρθῶς λέγοιμεν . οὐδὲ γὰρ ᾄσματος οὐδὲ λόγου παντὸς δεῖ τὸ τοιοῦτον δρᾶν _ καίτοι πέφυκέν γε εἶναι πᾶσιν , ἀλλʼ οὐ χρηστέον ἅπασιν _ αὐτῷ δὲ τῷ τε ῥήτορι καὶ τῷ μελῳδῷ καὶ νομοθέτῃ τὸ τοιοῦτον ἑκάστοτε ἐπιτρεπτέον . ἀληθέστατα δοκεῖς μοι λέγειν . ἀλλὰ δὴ μηκέτʼ , ὦ ξένε , διατριβὴν πλείω τῆς μελλήσεως ποιώμεθα , ἐπὶ δὲ τὸν λόγον ἐπανέλθωμεν καὶ ἀπʼ ἐκείνων ἀρχώμεθα , εἴ σοι φίλον , ὧν οὐχ ὡς προοιμιαζόμενος εἶπες τότε .",δοκεῖς;προτιθέναι;προστάττοιμεν;δοκεῖς,λέγειν;προοιμιάζεσθαι;λέγειν,μοι
27,Herodotus (0016) - Histories (001),οὕτω ἀσφαλέως ἑωυτῷ ἱδρῦσθαι ἐδόκεε .,ἐδόκεε,ἱδρῦσθαι,ἑωυτῷ
28,Euripides (0006) - Electra (042),"τίς δʼ ἔμʼ *̓ απόλλων , ποῖοι χρησμοὶ φονίαν ἔδοσαν μητρὶ γενέσθαι ; κοιναὶ πράξεις , κοινοὶ δὲ πότμοι , μία δʼ ἀμφοτέρους ἄτη πατέρων διέκναισεν . ὦ σύγγονέ μοι , χρονίαν σʼ ἐσιδὼν τῶν σῶν εὐθὺς φίλτρων στέρομαι καὶ σʼ ἀπολείψω σοῦ λειπόμενος . πόσις ἔστʼ αὐτῇ καὶ δόμος · οὐχ ἥδʼ οἰκτρὰ πέπονθεν , πλὴν ὅτι λείπει πόλιν *̓αργείων . καὶ τίνες ἄλλαι στοναχαὶ μείζους ἢ γῆς πατρίας ὅρον ἐκλείπειν ;",ἔδοσαν,γενέσθαι,μητρὶ
29,Thucydides (0003) - History (001),"*̓αθηναῖοι δὲ τούς τε Πελοποννησίους πρώτους νικήσαντες καὶ τοὺς βαρβάρους καὶ τὸν ἄλλον ὄχλον ὠσάμενοι , τοῖς Μιλησίοις οὐ ξυμμείξαντες , ἀλλʼ ὑποχωρησάντων αὐτῶν ἀπὸ τῆς τῶν *̓αργείων τροπῆς ἐς τὴν πόλιν ὡς ἑώρων τὸ ἄλλο σφῶν ἡσσώμενον , πρὸς αὐτὴν τὴν πόλιν τῶν Μιλησίων κρατοῦντες ἤδη τὰ ὅπλα τίθενται . καὶ ξυνέβη ἐν τῇ μάχῃ ταύτῃ τοὺς *̓ ́ιωνας ἀμφοτέρωθεν τῶν Δωριῶν κρατῆσαι ·",ξυνέβη,κρατῆσαι,μάχῃ
30,Lysias (0540) - For Polystratus (020),"ὧν δʼ οὖν ἐγὼ εἶπον , καλῶ μάρτυρας . σκέψασθε δὴ καὶ τοῦ πατρὸς τὴν ἐπιστολήν , ἣν ἔδωκεν ἀποδοῦναι ἐμοί , πότερα τῷ ὑμετέρῳ πλήθει ἀγαθὰ ἐνῆν ἢ οὔ .",ἔδωκεν,ἀποδοῦναι,ἐμοί
31,Aeschines (0026) - Against Timarchus (001),"ὅταν δʼ ἡ φύσις τοῦ ἀνθρώπου εὐθὺς πονηρὰν τὴν ἀρχὴν λάβῃ τῆς παιδείας , ἐκ τῶν κακῶς τεθραμμένων παίδων παραπλησίους ἡγήσατο πολίτας ἔσεσθαι Τιμάρχῳ τουτῳί . λέγε αὐτοῖς τοὺς νόμους τούτους . οἱ δὲ τῶν παίδων διδάσκαλοι ἀνοιγέτωσαν μὲν τὰ διδασκαλεῖα μὴ πρότερον ἡλίου ἀνιόντος , κλειέτωσαν δὲ πρὸ ἡλίου δύνοντος . καὶ μὴ ἐξέστω τοῖς ὑπὲρ τὴν τῶν παίδων ἡλικίαν οὖσιν εἰσιέναι τῶν παίδων ἔνδον ὄντων , ἐὰν μὴ υἱὸς διδασκάλου ἢ ἀδελφὸς ἢ θυγατρὸς ἀνήρ ·",ἐξέστω,εἰσιέναι,τοῖς;οὖσιν
32,Demosthenes (0014) - Against Evergus And Mnesibulus (047),"τοιαύτη γὰρ ἡ ἀπορία οὖσα συνέβαινεν τότε ἐν τῇ πόλει σκευῶν . καί μοι ἀνάγνωθι τὸ ψήφισμα . καταπλεύσας τοίνυν , ὦ ἄνδρες δικασταί , ὡς οὐδενὶ ἤθελεν ἐπιτρέπειν ὁ Θεόφημος περὶ τῶν πληγῶν ὧν τότε ἔλαβον ὑπʼ αὐτοῦ , προσεκαλεσάμην αὐτὸν καὶ ἔλαχον αὐτῷ δίκην τῆς αἰκείας . ἀντιπροσκαλεσαμένου δὲ κἀκείνου ἐμὲ καὶ διαιτητῶν ἐχόντων τὰς δίκας , ἐπειδὴ ἡ ἀπόφασις ἦν τῆς δίκης , ὁ μὲν Θεόφημος παρεγράφετο καὶ ὑπώμνυτο , ἐγὼ δὲ πιστεύων ἐμαυτῷ μηδὲν ἀδικεῖν εἰσῄειν εἰς ὑμᾶς . παρασχόμενος δὲ ἐκεῖνος ταύτην τὴν μαρτυρίαν , ἣν ἄλλος μὲν οὐδεὶς μεμαρτύρηκεν , ὁ δὲ ἀδελφὸς καὶ ὁ κηδεστής , ὡς ἐθέλοι τὴν ἄνθρωπον παραδοῦναι , καὶ προσποιούμενος ἄκακος εἶναι , ἐξηπάτησεν τοὺς δικαστάς . δέομαι δὲ ὑμῶν νυνὶ δικαίαν δέησιν , ἅμα μὲν δικάσαι περὶ τῆς μαρτυρίας , πότερα ψευδής ἐστιν ἢ ἀληθής , ἅμα δὲ περὶ τοῦ πράγματος ἐξ ἀρχῆς σκέψασθαι .",συνέβαινεν;πιστεύων,ἀδικεῖν;εἰσῄειν,ἐμαυτῷ
33,Plato (0059) - Cratylus (005),ἄτοπόν τι νὴ Δία ἔμοιγε δοκεῖ καὶ χαλεπὸν συμβαλεῖν .,δοκεῖ,συμβαλεῖν,ἔμοιγε
34,Xenophon (0032) - Cyropaedia (007),"ἐν δὲ τῷ ὁμοῦ σκηνοῦν ἐδόκουν μὲν αὐτῷ ὠφελεῖσθαι πρὸς τὸν μέλλοντα ἀγῶνα τοῦτο ὅτι ἑώρων ἀλλήλους ὁμοίως τρεφομένους καὶ οὐκ ἐνῆν πρόφασις μειονεξίας ὥστε ὑφίεσθαί τινας κακίω ἕτερον ἑτέρου εἶναι πρὸς τοὺς πολεμίους . ὠφελεῖσθαι δʼ ἐδόκουν αὐτῷ καὶ πρὸς τὸ γιγνώσκειν ἀλλήλους ὁμοῦ σκηνοῦντες . ἐν δὲ τῷ γιγνώσκεσθαι καὶ τὸ αἰσχύνεσθαι πᾶσι δοκεῖ μᾶλλον ἐγγίγνεσθαι , οἱ δʼ ἀγνοούμενοι ῥᾳδιουργεῖν πως μᾶλλον δοκοῦσιν , ὥσπερ ἐν σκότει ὄντες . ἐδόκουν δʼ αὐτῷ καὶ εἰς τὸ τὰς τάξεις ἀκριβοῦν μεγάλα ὠφελεῖσθαι διὰ τὴν συσκηνίαν .",ἐδόκουν;ἐδόκουν;δοκεῖ;δοκοῦσιν;ἐδόκουν,ὠφελεῖσθαι;ἐγγίγνεσθαι;ῥᾳδιουργεῖν;ἀκριβοῦν,αὐτῷ
35,Demosthenes (0014) - Third Olynthiac (003),"οὐ γὰρ ἀλλοτρίοις ὑμῖν παραδείγμασιν , ἀλλʼ οἰκείοις , ὦ ἄνδρες *̓αθηναῖοι , εὐδαίμοσιν ἔξεστι γενέσθαι . ἐκεῖνοι τοίνυν , οἷς οὐκ ἐχαρίζονθʼ οἱ λέγοντες οὐδʼ ἐφίλουν αὐτοὺς ὥσπερ ὑμᾶς οὗτοι νῦν , πέντε μὲν καὶ τετταράκοντʼ ἔτη τῶν *̔ελλήνων ἦρξαν ἑκόντων , πλείω δʼ ἢ μύρια τάλαντʼ εἰς τὴν ἀκρόπολιν ἀνήγαγον , ὑπήκουε δʼ ὁ ταύτην τὴν χώραν ἔχων αὐτοῖς βασιλεύς , ὥσπερ ἐστὶ προσῆκον βάρβαρον *̔́ελλησι , πολλὰ δὲ καὶ καλὰ καὶ πεζῇ καὶ ναυμαχοῦντες ἔστησαν τρόπαιʼ αὐτοὶ στρατευόμενοι , μόνοι δʼ ἀνθρώπων κρείττω τὴν ἐπὶ τοῖς ἔργοις δόξαν τῶν φθονούντων κατέλιπον . ἐπὶ μὲν δὴ τῶν *̔ελληνικῶν ἦσαν τοιοῦτοι ·",ἔξεστι,γενέσθαι,ὑμῖν;παραδείγμασιν;εὐδαίμοσιν
36,Demosthenes (0014) - The Erotic Essay (061),"τοῦτο μὲν γὰρ Περικλέα τὸν συνέσει πλεῖστον τῶν καθʼ αὑτὸν διενεγκεῖν δόξαντα πάντων , ἀκούσει πλησιάσαντʼ *̓αναξαγόρᾳ τῷ Κλαζομενίῳ καὶ μαθητὴν ἐκείνου γενόμενον ταύτης τῆς δυνάμεως μετασχόντα ·",δόξαντα,διενεγκεῖν,συνέσει
